loan_amnt,funded_amnt,funded_amnt_inv,term,int_rate,installment,sub_grade,emp_length,home_ownership,annual_inc,verification_status,pymnt_plan,purpose,dti,delinq_2yrs,inq_last_6mths,mths_since_last_delinq,open_acc,pub_rec,revol_bal,revol_util,total_acc,out_prncp,out_prncp_inv,total_pymnt,total_pymnt_inv,total_rec_prncp,total_rec_int,total_rec_late_fee,recoveries,collection_recovery_fee,last_pymnt_amnt,collections_12_mths_ex_med,policy_code,acc_now_delinq,default_ind
4375,4375,4375,36,7.51,136.11,A3,7,MORTGAGE,17108,1,n,debt_consolidation,20.34,0,0,,6,0,11210,86.9,12,0,0,4898.543558,4898.54,4375,523.54,0,0,0,144.94,0,1,0,0
31825,31825,31825,36,7.9,995.82,A4,5,MORTGAGE,75000,1,n,debt_consolidation,14.03,0,0,,12,0,23151,27.4,26,0,0,34886.08,34886.08,31825,3061.08,0,0,0,16966.7,0,1,0,0
10000,10000,9975,60,15.96,242.97,C5,2,RENT,29120,1,n,debt_consolidation,22.83,0,1,68,11,0,16158,63.6,31,2695.31,2688.53,11622.36,11593.4,7304.67,4317.69,0,0,0,242.97,0,1,0,0
5000,5000,5000,36,8.9,158.77,A5,2,RENT,24044,1,n,debt_consolidation,11.93,0,0,45,8,0,2224,29.3,16,0,0,5714.592129,5714.59,5000,714.59,0,0,0,163.64,0,1,0,0
7000,7000,7000,36,15.96,245.97,C5,7,RENT,34000,1,n,credit_card,6.35,0,1,,6,0,6113,60.5,6,0,0,8848.94043,8848.94,7000,1848.94,0,0,0,260.74,0,1,0,0
12400,12400,12400,36,10.65,403.91,B2,11,RENT,41000,0,n,credit_card,11.8,0,2,,9,0,11095,57.2,12,0,0,14537.45953,14537.46,12400,2137.46,0,0,0,417.61,0,1,0,0
10800,10800,10800,36,9.91,348.03,B1,2,RENT,55596,1,n,moving,5.5,0,0,,7,0,2535,13.3,18,0,0,12157.2,12157.2,10800,1357.2,0,0,0,3483.79,0,1,0,0
15000,15000,15000,36,7.9,469.36,A4,1,RENT,45000,1,n,debt_consolidation,8.48,0,0,,7,0,6704,50.4,27,0,0,16662.6,16662.6,15000,1662.6,0,0,0,5872.8,0,1,0,0
6000,6000,6000,36,12.42,200.5,B4,1,RENT,36852,1,n,debt_consolidation,10.62,0,1,,7,0,7310,66.5,12,0,0,7125.283165,7125.28,6000,1125.28,0,0,0,1923.53,0,1,0,0
12500,12500,12475,60,12.69,282.44,B5,1,RENT,27000,1,n,debt_consolidation,16.04,0,3,,6,0,10143,50,24,3193.13,3186.72,13506.54,13479.58,9306.87,4199.67,0,0,0,282.44,0,1,0,0
9600,9600,9600,36,7.51,298.67,A3,4,RENT,68004,1,n,other,6.63,0,0,,6,0,2896,18.1,11,0,0,10749.76265,10749.76,9600,1149.76,0,0,0,311.56,0,1,0,0
12000,12000,12000,36,7.9,375.49,A4,11,RENT,62300,0,n,debt_consolidation,16.7,0,0,38,15,0,8601,21,25,0,0,13516.38296,13516.38,12000,1516.38,0,0,0,380.98,0,1,0,0
3000,3000,3000,36,18.25,108.84,D5,9,MORTGAGE,65000,0,n,other,17.39,0,0,,8,0,43936,98.1,22,0,0,3915.027595,3915.03,3000,915.03,0,0,0,115.38,0,1,0,0
4400,4400,4400,36,16.77,156.37,D2,11,RENT,55000,0,n,debt_consolidation,20.01,0,0,,7,0,25237,99,11,0,0,5626.892655,5626.89,4400,1226.89,0,0,0,162.44,0,1,0,0
6000,6000,6000,36,6.03,182.62,A1,11,MORTGAGE,45600,0,n,debt_consolidation,5.34,0,1,,6,0,3378,32.5,28,0,0,6065.86,6065.86,6000,65.86,0,0,0,15.01,0,1,0,0
14000,14000,14000,36,9.91,451.15,B1,6,RENT,80000,0,n,small_business,10,0,1,45,7,0,2219,13.4,40,0,0,16239.91413,16239.91,14000,2239.91,0,0,0,457.91,0,1,0,0
5000,5000,5000,36,8.9,158.77,A5,11,MORTGAGE,100000,1,n,debt_consolidation,16.33,0,0,,17,0,74351,62.1,35,0,0,5021.37,5021.37,4217.38,696.99,0,107,1.07,158.77,0,1,0,1
10000,10000,10000,36,10.65,325.74,B2,6,RENT,27000,1,n,other,11.47,0,0,,7,0,7814,52.3,10,0,0,11724.56774,11724.57,10000,1724.57,0,0,0,332.92,0,1,0,0
10000,10000,10000,36,6.03,304.36,A1,11,RENT,60000,0,n,credit_card,12.74,0,1,,11,0,14019,19.5,18,0,0,10282.67,10282.67,10000,282.67,0,0,0,8762.05,0,1,0,0
11000,11000,11000,36,6.62,337.75,A2,5,RENT,70000,0,n,debt_consolidation,10.85,0,0,,5,0,11638,36.4,7,0,0,12157.38005,12157.38,11000,1157.38,0,0,0,346.13,0,1,0,0
15000,15000,15000,36,9.91,483.38,B1,8,MORTGAGE,80000,0,n,debt_consolidation,9.12,0,2,,9,0,11845,63.7,28,0,0,16177.77,16177.77,13556.45,2374.34,24.17,222.81,36.3708,483.38,0,1,0,1
25600,25600,25350,36,9.91,824.96,B1,9,RENT,110000,1,n,credit_card,15.71,0,0,,11,0,26088,62,27,0,0,29695.62268,29405.63,25600,4095.62,0,0,0,838.27,0,1,0,0
7000,7000,7000,36,10.65,228.02,B2,0,RENT,40000,0,n,debt_consolidation,7.38,0,0,,7,0,12168,92.9,12,0,0,8205.473816,8205.47,7000,1205.47,0,0,0,240.27,0,1,0,0
12000,12000,12000,36,15.96,421.65,C5,4,RENT,50000,0,n,car,20.88,0,2,,11,0,15793,90.8,11,0,0,3521.95,3521.95,1903.66,1039.35,0,578.94,5.49,421.65,0,1,0,1
12000,12000,12000,36,9.91,386.7,B1,1,RENT,46000,0,n,credit_card,8.11,0,1,,11,0,12143,52.1,12,0,0,13748.21311,13748.21,12000,1748.21,0,0,0,964.73,0,1,0,0
21000,21000,20975,60,19.91,555.33,E4,7,RENT,50000,1,n,debt_consolidation,21.58,0,1,,7,0,19448,97.6,14,0,0,18319.14,18297.35,8990.81,9328.33,0,0,0,555.33,0,1,0,1
16000,16000,15950,60,19.91,423.11,E4,7,RENT,81000,1,n,credit_card,20.52,0,3,,12,0,27884,75.1,21,0,0,20876.1,20810.87,16000,4876.1,0,0,0,9931.02,0,1,0,0
10000,10000,10000,36,12.42,334.16,B4,0,OWN,39000,0,n,debt_consolidation,18.58,0,0,,5,0,12874,72.7,10,0,0,11474.76,11474.76,10000,1474.76,0,0,0,5803.94,0,1,0,0
10000,10000,10000,36,10.65,325.74,B2,2,RENT,51400,0,n,credit_card,19.14,0,3,,10,0,10160,59.1,24,0,0,10575.94,10575.94,10000,575.94,0,0,0,8627.74,0,1,0,0
7100,7100,7100,36,16.77,252.33,D2,1,MORTGAGE,33000,1,n,debt_consolidation,24,0,2,,4,0,6021,91.2,8,0,0,9079.334843,9079.33,7100,1979.33,0,0,0,262.78,0,1,0,0
13000,13000,13000,60,12.69,293.74,B5,0,MORTGAGE,30000,1,n,debt_consolidation,13.72,0,0,,17,0,17080,58.9,27,0,0,17402.23999,17402.24,13000,4402.24,0,0,0,3596.46,0,1,0,0
17500,8950,8925,60,17.27,223.74,D3,6,RENT,40000,1,n,small_business,19.47,0,1,,5,0,10724,58.9,6,2462.25,2455.34,10713.52,10683.65,6487.75,4225.77,0,0,0,223.74,0,1,0,0
17675,17675,17675,60,14.65,417.25,C3,0,RENT,50000,1,n,debt_consolidation,16.46,0,2,,6,0,6661,57.4,14,0,0,21323.43,21323.43,17675,3648.43,0,0,0,13814.81,0,1,0,0
8000,8000,8000,36,16.77,284.31,D2,0,RENT,62000,0,n,debt_consolidation,21.64,0,3,,14,0,6088,66.9,20,0,0,10267.26214,10267.26,8000,2252.27,14.98883533,0,0,606.54,0,1,0,0
10000,10000,9975,60,10.65,215.69,B2,11,RENT,45996,1,n,debt_consolidation,21.73,0,1,,7,0,11170,30.1,15,0,0,8772.91,8751.08,5495.38,2429.23,1,847.3,152.514,1,0,1,0,1
3500,3500,3500,36,10.65,114.01,B2,7,MORTGAGE,55000,0,n,debt_consolidation,5.39,0,1,,9,0,6611,45.9,12,0,0,4103.168128,4103.17,3500,603.17,0,0,0,118.32,0,1,0,0
12500,8925,8925,60,17.27,223.11,D3,5,RENT,30000,1,n,debt_consolidation,13.16,0,0,,7,1,9844,70.8,28,0,0,5577.75,5577.75,2812.82,2742.43,0,22.5,0,223.11,0,1,0,1
16425,16425,16425,36,14.27,563.53,C2,4,RENT,44544,1,n,debt_consolidation,22.71,0,1,,10,0,15747,83.4,18,0,0,18172.71,18172.71,16425,1747.71,0,0,0,13108.71,0,1,0,0
8200,8200,8200,60,21.28,223.14,F2,4,RENT,75000,1,n,small_business,12.48,0,3,,6,0,9012,73.9,11,0,0,4173.57,4173.57,1525.83,2265.85,0,381.89,3.6,223.14,0,1,0,1
15000,15000,15000,36,14.65,517.42,C3,2,OWN,61000,1,n,credit_card,11.88,0,1,,8,0,19397,79.5,18,0,0,18562.40042,18562.4,15000,3562.4,0,0,0,2533.38,0,1,0,0
20975,13575,13550,60,17.58,341.63,D4,5,MORTGAGE,44000,1,n,credit_card,18.79,0,0,,13,1,20657,79.4,21,0,0,18097.34458,18064.1,13575,4522.34,0,0,0,9245.21,0,1,0,0
6400,6400,6400,36,16.77,227.45,D2,5,RENT,75000,0,n,debt_consolidation,20.22,0,0,48,9,0,7159,67.5,27,0,0,4776.45,4776.45,3334.25,1431.91,0,10.29,0,227.45,0,1,0,1
3000,3000,3000,36,13.49,101.8,C1,1,RENT,33600,0,n,debt_consolidation,18.11,0,0,41,4,0,2745,83.2,7,0,0,3246.8,3246.8,3000,246.8,0,0,0,2539.58,0,1,0,0
12000,12000,12000,36,16.77,426.47,D2,3,RENT,50000,0,n,credit_card,20.57,0,1,,13,0,11443,97,19,0,0,15346.46687,15346.47,12000,3346.47,0,0,0,441.52,0,1,0,0
14400,14400,14400,36,8.9,457.25,A5,0,OWN,150000,1,n,debt_consolidation,14.85,0,0,,12,0,63864,55,38,0,0,16459.51914,16459.52,14400,2059.52,0,0,0,464.02,0,1,0,0
12000,12000,12000,36,14.65,413.94,C3,11,RENT,90000,0,n,debt_consolidation,16.56,0,2,40,12,0,17116,78.5,36,0,0,12699.48,12699.48,12000,699.48,0,0,0,11046.6,0,1,0,0
11000,11000,11000,36,13.49,373.24,C1,11,MORTGAGE,48000,1,n,debt_consolidation,21.82,0,3,74,15,0,11382,65,29,0,0,13413.21605,13413.22,11000,2413.22,0,0,0,1491.29,0,1,0,0
7250,7200,7175,60,21.67,197.51,F3,0,RENT,75000,1,n,debt_consolidation,24.82,0,2,,9,1,21706,91.2,19,0,0,8201.53,8173.07,7200,1001.53,0,0,0,6824.7,0,1,0,0
15000,15000,15000,36,7.9,469.36,A4,1,MORTGAGE,52000,0,n,small_business,9.65,0,1,,11,0,1616,6.7,29,0,0,15557.64,15557.64,15000,557.64,0,0,0,312.74,0,1,0,0
18000,18000,18000,60,19.91,475.99,E4,11,MORTGAGE,65000,0,n,debt_consolidation,6.81,0,0,25,10,0,11745,77.8,40,0,0,26027.53964,26027.54,18000,8003.76,23.78149961,0,0,10783.73,0,1,0,0
35000,22075,22050,60,17.27,551.84,D3,3,MORTGAGE,150000,1,n,home_improvement,7.51,0,1,35,11,0,7334,53.3,31,0,0,28871.92,28839.26,22075,6796.92,0,0,0,15660.22,0,1,0,0
10000,10000,10000,36,14.27,343.09,C2,2,RENT,68000,1,n,credit_card,15.39,0,1,,9,0,11303,81.3,15,0,0,10671.62,10671.62,10000,671.62,0,0,0,8962.31,0,1,0,0
11800,11800,11800,36,12.69,395.83,B5,6,RENT,42000,1,n,credit_card,9.86,0,0,,4,0,8940,74.8,13,0,0,14243.15837,14243.16,11800,2443.16,0,0,0,419.36,0,1,0,0
4500,4500,4500,36,6.03,136.96,A1,4,RENT,53000,1,n,major_purchase,4.44,0,0,,7,0,8630,13.9,17,0,0,4930.30217,4930.3,4500,430.3,0,0,0,138.95,0,1,0,0
7000,7000,7000,36,12.69,234.82,B5,11,RENT,35000,1,n,credit_card,11.35,0,2,53,10,0,7649,82.3,26,0,0,8449.394742,8449.39,7000,1449.39,0,0,0,248.19,0,1,0,0
9200,9200,9200,36,12.42,307.43,B4,2,RENT,60000,1,n,debt_consolidation,19.96,0,3,,8,0,23299,78.7,19,0,0,10480.84,10480.84,9200,1280.84,0,0,0,365.48,0,1,0,0
14000,14000,13975,60,17.27,349.98,D3,4,RENT,28000,1,n,other,6.34,0,2,,5,0,6986,79.4,10,3842.41,3835.51,16777.04,16747.17,10157.6,6619.44,0,0,0,349.98,0,1,0,0
4500,4500,4475,60,10.65,97.06,B2,0,MORTGAGE,42000,1,n,car,5.4,0,0,,4,0,8220,78.3,9,0,0,4907.8,4880.55,4500,407.8,0,0,0,3946.24,0,1,0,0
12000,12000,12000,36,16.29,423.61,D1,9,RENT,88365,1,n,debt_consolidation,16.85,0,0,,6,0,22936,96.4,15,0,0,14685.36,14685.36,12000,2685.36,0,0,0,5800.45,0,1,0,0
12000,12000,12000,36,13.49,407.17,C1,4,RENT,72000,1,n,debt_consolidation,21.33,0,1,,11,0,3419,27.6,19,0,0,13985.67622,13985.68,12000,1985.68,0,0,0,426.26,0,1,0,0
12000,12000,12000,36,10.65,390.88,B2,0,RENT,62000,1,n,credit_card,23.94,0,0,,10,0,20310,78.4,51,0,0,12779.62,12779.62,12000,779.62,0,0,0,10046.57,0,1,0,0
7000,7000,7000,36,10.65,228.02,B2,3,MORTGAGE,43680,0,n,credit_card,5.38,0,0,39,7,0,6245,78.1,11,0,0,7687.73,7687.73,7000,687.73,0,0,0,4958.61,0,1,0,0
8200,8200,8200,60,19.42,214.62,E3,3,RENT,120000,1,n,debt_consolidation,2.8,0,2,,5,0,10392,88.4,6,0,0,11894.8952,11894.9,8200,3694.9,0,0,0,4625.07,0,1,0,0
10500,10500,10500,36,12.69,352.23,B5,11,RENT,66000,1,n,medical,20.73,1,2,10,8,0,5790,51.2,26,0,0,11232.14,11232.14,10500,732.14,0,0,0,4421.32,0,1,0,0
7000,7000,7000,36,11.71,231.54,B3,4,OWN,39120,0,n,debt_consolidation,21.01,0,0,26,8,1,9414,52.4,26,0,0,7932.3,7932.3,7000,932.3,0,0,0,4235.03,0,1,0,0
15300,15300,15275,60,22.06,423.1,F4,6,RENT,85000,1,n,credit_card,20.58,0,2,56,14,0,26524,89.7,27,4523.91,4516.51,20295.8,20262.65,10776.09,9519.71,0,0,0,423.1,0,1,0,0
20000,12800,12775,60,11.71,282.86,B3,4,MORTGAGE,47800,1,n,debt_consolidation,10.04,0,0,,15,0,16447,46.3,27,0,0,15161.27,15131.66,12800,2361.27,0,0,0,9242.39,0,1,0,0
17500,17500,17500,60,17.27,437.47,D3,7,MORTGAGE,45000,0,n,credit_card,21.31,0,2,,13,0,20129,86.1,26,0,0,10037.1,10037.1,3077.85,3473.25,0,3486,625.617,437.47,0,1,0,1
3500,3500,3500,36,6.03,106.53,A1,11,MORTGAGE,83000,1,n,car,2.31,0,0,35,6,0,3092,13.4,28,0,0,3834.66085,3834.66,3500,334.66,0,0,0,107.86,0,1,0,0
6000,6000,6000,60,12.69,135.57,B5,0,RENT,81000,1,n,major_purchase,13.66,1,0,20,6,0,15102,50,17,1527.6,1527.6,6495.11,6495.11,4472.4,2022.71,0,0,0,135.57,0,1,0,0
6200,6200,6200,36,9.91,199.8,B1,2,RENT,25000,0,n,debt_consolidation,20.64,0,2,,7,0,6533,47.7,12,0,0,2452.22,2452.22,1700.79,493.16,0,258.27,2.54,199.8,0,1,0,1
16000,16000,16000,60,17.58,402.65,D4,7,RENT,65000,0,n,debt_consolidation,15.56,0,0,,8,0,21166,87.1,16,4415.97,4415.97,19297.95,19297.95,11584.03,7713.92,0,0,0,402.65,0,1,0,0
6000,6000,6000,36,8.9,190.52,A5,8,OWN,28800,0,n,debt_consolidation,13.17,0,0,,11,0,5269,36.8,13,0,0,6857.167486,6857.17,6000,857.17,0,0,0,198.47,0,1,0,0
7200,7200,7200,36,9.91,232.02,B1,6,RENT,135000,0,n,credit_card,6.12,0,0,,7,0,16627,79.6,18,0,0,8350.844344,8350.84,7200,1150.84,0,0,0,240.64,0,1,0,0
9500,9500,9500,36,8.9,301.66,A5,7,MORTGAGE,50000,0,n,credit_card,8.18,0,0,,8,0,13422,60.5,13,0,0,10493.71,10493.71,9500,993.71,0,0,0,5378.43,0,1,0,0
18825,18825,18800,60,16.77,465.53,D2,11,RENT,38000,1,n,debt_consolidation,23.18,0,0,,6,0,11004,79.7,7,0,0,18218.25,18194.23,8087.75,6786.71,0,3343.79,575.2393,465.53,0,1,0,1
24000,24000,24000,36,10.65,781.76,B2,11,RENT,45000,1,n,debt_consolidation,14.8,0,0,,5,0,24708,55.2,9,0,0,28140.92936,28140.93,24000,4140.93,0,0,0,791.58,0,1,0,0
6000,6000,6000,36,13.49,203.59,C1,11,RENT,80000,0,n,debt_consolidation,11.58,0,0,,8,0,15499,83.8,16,0,0,7326.009787,7326.01,6000,1326.01,0,0,0,212.86,0,1,0,0
6000,6000,6000,36,13.49,203.59,C1,5,RENT,50000,0,n,debt_consolidation,15.38,0,1,,6,0,15191,91.5,7,0,0,7325.544153,7325.54,6000,1325.54,0,0,0,214.39,0,1,0,0
2100,2100,2100,36,12.42,70.18,B4,11,MORTGAGE,30000,0,n,vacation,19.72,0,1,,12,0,12183,82.9,26,0,0,2552.485243,2552.49,2100,422.49,30,0,0,72.44,0,1,0,0
5500,5500,5500,36,6.62,168.88,A2,8,MORTGAGE,110000,1,n,small_business,9.69,0,0,,7,0,14136,21.9,26,0,0,6077.875619,6077.88,5500,577.88,0,0,0,178.58,0,1,0,0
11000,11000,11000,36,6.62,337.75,A2,8,OWN,45608,1,n,debt_consolidation,20.5,0,0,,7,0,10677,58.7,11,0,0,12156.85732,12156.86,11000,1156.86,0,0,0,349.86,0,1,0,0
26800,26800,26800,60,20.89,723.38,F1,3,MORTGAGE,120000,1,n,debt_consolidation,12.15,0,0,,13,0,14772,48,18,0,0,32887.69,32887.69,26800,6087.69,0,0,0,23499.05,0,1,0,0
8000,8000,8000,36,12.69,268.36,B5,5,MORTGAGE,35000,0,n,debt_consolidation,10.05,0,0,,7,0,6842,97.7,18,0,0,8999.1,8999.1,8000,999.1,0,0,0,5514.5,0,1,0,0
10000,10000,10000,36,18.25,362.78,D5,1,RENT,75000,1,n,credit_card,24.14,0,0,77,9,0,22828,96.3,26,0,0,11730.6,11730.6,8320.22,3145.08,36.24699818,229.06,2.2906,200,0,1,0,1
8000,8000,8000,36,11.71,264.61,B3,9,MORTGAGE,35000,1,n,credit_card,9.7,0,0,,7,0,6142,46.5,8,0,0,9434.776936,9434.78,8000,1434.78,0,0,0,2295.56,0,1,0,0
10000,10000,10000,36,8.9,317.54,A5,6,RENT,24000,1,n,debt_consolidation,7,0,0,28,6,0,6734,49.5,21,0,0,10868.92,10868.92,10000,868.92,0,0,0,6743.26,0,1,0,0
12000,12000,12000,36,11.71,396.92,B3,2,MORTGAGE,126000,0,n,debt_consolidation,13.32,0,0,74,17,0,32711,54.1,38,0,0,14182.29986,14182.3,12000,2182.3,0,0,0,3074.04,0,1,0,0
10000,10000,10000,36,7.9,312.91,A4,1,RENT,43000,0,n,debt_consolidation,25.26,0,0,,8,0,8215,37.2,16,0,0,11264.00958,11264.01,10000,1264.01,0,0,0,4.84,0,1,0,0
12000,12000,12000,36,9.91,386.7,B1,1,RENT,50000,0,n,debt_consolidation,16.44,0,1,,11,0,14335,29.3,25,0,0,13920.02507,13920.03,12000,1920.03,0,0,0,392.03,0,1,0,0
25000,25000,23088.16106,60,13.49,575.12,C1,11,MORTGAGE,67000,1,n,credit_card,14.15,0,0,28,6,0,15319,91.2,21,0,0,23880.65,20309.6,13833.2,8008.11,28.76,2010.58,361.9044,1179,0,1,0,1
19750,19750,19725,36,10.65,643.33,B2,4,RENT,45000,1,n,debt_consolidation,22.8,0,0,56,12,0,16576,54.2,28,0,0,11930.65,11915.62,8590.58,2698.78,0,641.29,6.412899997,787.01,0,1,0,1
10000,10000,10000,36,9.91,322.25,B1,3,RENT,31200,1,n,debt_consolidation,14.81,0,0,,13,0,5540,27,19,0,0,10904.24,10904.24,10000,904.24,0,0,0,6912.69,0,1,0,0
13650,13650,13650,36,12.42,456.12,B4,4,RENT,66000,1,n,debt_consolidation,24.09,0,0,74,11,0,8933,56.5,34,0,0,16011.18,16011.18,13650,2361.18,0,0,0,5980.83,0,1,0,0
28000,11800,11775,60,19.91,312.04,E4,11,RENT,52000,1,n,debt_consolidation,20.7,0,0,,10,0,29178,87.6,16,0,0,12173.07,12147.29,4281.54,4759.37,0,3132.16,563.7888,312.04,0,1,0,1
18000,18000,18000,36,7.9,563.23,A4,11,RENT,56964,1,n,debt_consolidation,27.55,0,0,,7,0,17381,76.6,20,0,0,20275.33655,20275.34,18000,2275.34,0,0,0,567.29,0,1,0,0
2500,2500,2500,36,14.27,85.78,C2,7,RENT,49500,1,n,debt_consolidation,10.33,0,1,52,7,0,9868,37.7,20,0,0,2529.9,2529.9,2500,29.9,0,0,0,2530.74,0,1,0,0
